id,state_id,store_number
1,1,Store #1
2,1,Store #2
3,1,Store #3
4,2,Store #4
5,2,Store #5
6,2,Store #6
7,2,Store #7
8,2,Store #8
9,3,Store #9
10,3,Store #10
11,3,Store #11
12,3,Store #12
13,4,Store #13
14,5,Store #14
15,5,Store #15
16,5,Store #16
17,5,Store #17
18,5,Store #18
19,6,Store #19
20,6,Store #20
21,6,Store #21
22,7,Store #22
23,8,Store #23
24,8,Store #24
25,9,Store #25
26,9,Store #26
27,9,Store #27
28,9,Store #28
29,9,Store #29
30,10,Store #30
31,10,Store #31
32,10,Store #32
33,10,Store #33
